DISTRICT NAME,ALLOTED WARDs-SSAs,WARDs-SSAs SURVEY_DONE,HOUSEHOLD COVERAGE-%
Panch Mahals,292,292,100.00%
Panchkula,74,74,100.00%
Panipat,153,153,100.00%
Panna,461,461,100.00%
Papum Pare,55,55,100.00%
Parbhani,413,413,100.00%
Paschim Medinipur,1007,1007,100.00%
Pashchim Champaran,504,504,100.00%
Pashchimi Singhbhum,244,244,100.00%
Patan,347,347,100.00%
Pathanamthitta,269,269,100.00%
Pathankot,160,160,100.00%
Patiala,426,426,100.00%
Patna,482,482,100.00%
Perambalur,89,89,100.00%
Peren,20,20,100.00%
Phek,43,43,100.00%
Pilibhit,439,439,100.00%
Pithoragarh,344,344,100.00%
Porbandar,118,118,100.00%
Prakasam,816,816,100.00%
Pratapgarh,210,210,100.00%
Pratapgarh,363,363,100.00%
Puducherry,144,144,100.00%
Pudukkottai,477,477,100.00%
Pulwama,18,18,93.92%
Punch,14,14,100.00%
Pune,1070,1070,100.00%
Purba Champaran,616,616,100.00%
Purba Medinipur,822,822,100.00%
Purbi Singhbhum,515,515,100.00%
Puri,292,292,100.00%
Purnia,529,529,100.00%
Puruliya,426,426,100.00%
Rae Bareli,448,448,100.00%
Raichur,375,375,100.00%
Raigarh,401,401,100.00%
Raigarh,528,528,100.00%
Raipur,335,335,100.00%
Raisen,448,448,100.00%
Rajgarh,563,563,100.00%
Rajkot,374,374,100.00%
Rajnandgaon,318,318,100.00%
Rajouri,25,25,100.00%
Rajsamand,289,289,99.88%
Ramanagara,268,268,100.00%
Ramanathapuram,512,512,100.00%
Ramban,24,24,100.00%
Ramgarh,133,133,100.00%
Rampur,403,403,100.00%
Ranchi,451,451,100.00%
Rangareddy,442,442,100.00%
Ratlam,473,473,100.00%
Ratnagiri,434,434,99.99%
Rayagada,215,215,100.00%
Reasi,28,28,97.16%
Rewa,479,479,100.00%
Rewari,207,207,100.00%
Ribhoi,39,39,100.00%
Rohtak,161,161,100.00%
Rohtas,325,325,100.00%
Rudraprayag,125,125,100.00%
Rupnagar,169,169,100.00%
Sabar Kantha,375,375,100.00%
Sagar,567,567,100.00%
Saharanpur,605,605,100.00%
Saharsa,302,302,100.00%
Sahibganj,195,195,100.00%
Sahibzada Ajit Singh Nagar,221,221,100.00%
Saiha,14,14,100.00%
Salem,988,988,100.00%
Samastipur,404,404,100.00%
Samba,42,42,100.00%
Sambalpur,255,255,100.00%
Sambhal,890,890,100.00%
Sangli,508,508,100.00%
Sangrur,463,463,100.00%
Sant Kabir Nagar,359,359,100.00%
Sant Ravidas Nagar (Bhadohi),369,369,100.00%
Saraikela-Kharsawan,169,169,100.00%
Saran,568,568,100.00%
Satara,618,618,100.00%
Satna,470,470,100.00%
Sawai Madhopur,282,282,100.00%
Sehore,318,318,100.00%
Senapati,65,65,100.00%
Seoni,273,273,100.00%
Sepahijala,106,106,100.00%
Serchhip,7,7,100.00%
Shahdara,19,19,100.00%
Shahdol,248,248,100.00%
Shahid Bhagat Singh Nagar,187,187,100.00%
Shahjahanpur,438,438,100.00%
Shajapur,351,351,100.00%
Shamli,289,289,100.00%
Sheikhpura,88,88,100.00%
Sheohar,109,109,100.00%
Sheopur,259,259,100.00%
Shimla,333,333,100.00%
Shimoga,469,469,100.00%
Shivpuri,307,307,100.00%
Shrawasti,199,199,100.00%
Shupiyan,9,9,100.00%
Siddharthnagar,727,727,100.00%
Sidhi,256,256,100.00%
Sikar,646,646,100.00%
Simdega,103,103,100.00%
Sindhudurg,283,283,100.00%
Singrauli,220,220,100.00%
Sirmaur,198,198,100.00%
Sirohi,267,267,100.00%
Sirsa,311,311,100.00%
Sitamarhi,496,496,100.00%
Sitapur,542,542,100.00%
Sivaganga,565,565,100.00%
Sivasagar,223,223,99.97%
Siwan,458,458,100.00%
Solan,213,213,100.00%
Solapur,678,678,100.00%
Sonbhadra,286,286,100.00%
Sonipat,278,278,100.00%
Sonitpur,242,242,100.00%
South,20,20,100.00%
South Andaman,30,30,100.00%
South District,43,43,100.00%
South East Delhi,24,24,100.00%
South Garo Hills,34,34,100.00%
South Goa,174,174,100.00%
South Tripura,112,112,100.00%
South Twenty Four Parganas,925,925,100.00%
South West,16,16,100.00%
South West Garo Hills,36,36,100.00%
South West Khasi Hills,16,16,100.00%
Sri Potti Sriramulu Nellore,791,791,100.00%
Srikakulam,722,722,100.00%
Srinagar,21,21,100.00%
Subarnapur,112,112,100.00%
Sukma,87,74,100.00%
Sultanpur,297,297,100.00%
Sundargarh,347,347,100.00%
Supaul,325,325,100.00%
Surajpur,196,196,100.00%
Surat,451,451,100.00%
Surendranagar,322,322,100.00%
Surguja,214,214,100.00%
Tamenglong,19,19,100.00%
Tapi,205,205,100.00%
Tarn Taran,278,278,100.00%
Tawang,11,11,100.00%
Tehri Garhwal,229,229,100.00%
Thane,923,923,100.00%
Thanjavur,1080,1080,100.00%
The Dangs,104,104,100.00%
The Nilgiris,169,169,100.00%
Theni,358,358,100.00%
Thiruvallur,822,822,100.00%
Thiruvananthapuram,591,591,100.00%
Thiruvarur,493,493,100.00%
Thoothukkudi,534,534,100.00%
Thoubal,120,120,100.00%
Thrissur,521,521,100.00%
Tikamgarh,675,675,100.00%
Tinsukia,172,172,100.00%
Tirap,4,4,100.00%
Tiruchirappalli,502,502,100.00%
Tirunelveli,1083,1083,100.00%
Tiruppur,625,625,100.00%
Tiruvannamalai,850,850,100.00%
Tonk,367,367,99.83%
Tuensang,30,30,100.00%
Tumkur,518,518,100.00%
Udaipur,591,591,100.00%
Udalguri,112,112,100.00%
Udham Singh Nagar,332,332,100.00%
Udhampur,62,62,100.00%
Udupi,282,282,100.00%
Ujjain,512,512,100.00%
Ukhrul,27,27,100.00%
Umaria,239,239,100.00%
Una,215,215,100.00%
Unakoti,61,61,100.00%
Unnao,586,586,100.00%
Upper Siang,5,5,100.00%
Upper Subansiri,9,9,100.00%
Uttar Bastar Kanker,197,197,100.00%
Uttar Dinajpur,526,526,100.00%
Uttara Kannada,649,649,100.00%
Uttarkashi,130,130,100.00%
Vadodara,309,309,100.00%
Vaishali,410,410,100.00%
Valsad,275,275,100.00%
Varanasi,882,882,100.00%
Vellore,968,968,100.00%
Vidisha,312,312,100.00%
Viluppuram,1121,1121,100.00%
Virudhunagar,595,595,100.00%
Visakhapatnam,765,765,100.00%
Vizianagaram,562,562,99.99%
Warangal,720,720,100.00%
Wardha,403,403,100.00%
