Branch Code,Branch Name,IFSC Code,Address,State
Br Code,Br. Name,IFSC Code,Branch Addres,State
0121,Bahadurgarh,YESB0000121,"Ground Floor Khasra No. 960/3, 1520/48, 2345/2381, 2368/1, 2368//2/1, 2368//2/2, 2369, 2371/1, 2368/2, 2372, 2373, 2376, 2380/2, 2382/1/3, 2382/1/4, 2382/2, 2382/2/5, 2383/1/4, 2383/2, 3345/2381, 3346/2381, Main Delhi Road Rohtak, Model Town, Bahadurgarh, Jhajjar, Haryana - 124507.",Haryana
0122,Ulhasnagar,YESB0000122,"Maruti Arcade, Ground And,Mazzanine Floor, Opp.,Ulhasnagar Municipal Corporation,421003",Maharashtra
0123,Hosur,YESB0000123,"Gr.Floor.Gsn Arcade,Survey No: 6/25/B1, Besides Vemala Kalyana Mandapam Bye Pass Road Hosur 635109",Tamil Nadu
0124,Vijayawada,YESB0000124,"Kranti Arcade, D No. 40/1/59, Near Benz Circle, M.G. Road, Vijaywada- 520010",Andhra Pradesh
0125,Kalyan Dombivli,YESB0000125,"Ground Floor,Shop No:,1,2,3, Shreya Palace, Opp Adarsh,Hindi School,Santoshi Mata Road,421301",Maharashtra
0126,Pilani,YESB0000126,"Plot No.-1, Vidhya Vihar, Ward No.- 11, Pilani, Rajasthan, Pin 333001",Rajasthan
0127,Indirapuram,YESB0000127,"Ground Floor, BG 16,17, Aditya City Center, Plot No 3, Vaibhav Khand, Indirapuram, Ghaziabad Uttar Pradesh 201012",Uttar Pradesh
0128,Howrah,YESB0000128,"Yes Bank , Howrah Branch , Krishna Enclave, 2/1, Bhajan Lal Lohia Lane,, Ps Golabari, Howrah, West Bengal 711101",West Bengal
0129,Cheeka,YESB0000129,"Yes Bank Ltd ,Kaithal Road, Cheeka-136034",Haryana
0130,Kundli,YESB0000130,"Ground & First Floor, Shop No 44, Shopping Complex, Industrial Estate, Kundli, Sonepat, Haryana-131028",Haryana
0131,Neemrana,YESB0000131,"Ground Floor, 166-167, Riico Industrial Area Shopping Complex,Po Neemrana, Dist Alwar, Rajasthan- 301701",Rajasthan
0132,Dhand,YESB0000132,"Yes Bank Ltd. H.No,400, Kurukshetra Road, Dhand -136020",Haryana
0133,Kasna,YESB0000133,"Ground Floor, GNS Plaza, Shop no- G-5,G-6, G-7, G-8,  Plot no- 7/1, Site-IV, Kasna , Tehsil –Sadar, Distt.–Gautambudh Nagar ,Greater Noida, U.P-201310",Uttar Pradesh
0134,Bandra,YESB0000134,"Grnd And Mezzanine Flr,Shop No G-01,,893,Notan Chambers,Turner Rd,,Bandra(W), 400050",Maharashtra
0135,Kondhave Khurd,YESB0000135,"Ground Floor, Shop No: 4, Aditya Business Center, Plot No: 40-44, S.No. 1/A (Part), Nibm Junction, Kondhave Khurd, Pune, Maharashtra - 411 048.",Maharashtra
0136,Connaught Place,YESB0000136,"56 Janpath, Alps Building, New Delhi - 110001",Delhi
0137,Sankhol,YESB0000137,"Ground Floor, Kewat 143, Khata Number – 149, Khasra Number – 476/1 (2-14), Main Delhi – Rothak Road, Sankhol, Near Barahi Mod, Bahadurgarh, Haryana 124507",Haryana
0138,Katra,YESB0000138,"C/0 Hotel Bhawani Paradise ,Jammu Katra Road Katra, 182301",Jammu & Kashmir
0140,Badshahpur,YESB0000140,"Ground Floor, Unit No-5,Block - 2,Vatika Business Park, Sohna Road, Badshahpur, Gurgaon-122101",Haryana
0141,Bawal,YESB0000141,"Shop No. 1 & 2, Opposite Chhotu Ram Chowk, Railway Road, Bawal, 123501",Haryana
0142,Phullanwal,YESB0000142,"Pakhowal Road, Opp South End Gardens Marriage Palace, Vpo Phullanwal,Distt. Ludhiana, 141108",Punjab
0143,Sahnewal,YESB0000143,"Yes Bank Ltd, Gr. Floor, Bldg. No 9, Grain Market, Sahnewal-141120",Punjab
0144,Nawansahar,YESB0000144,"Gr. Floor,Property No.1/148,Banga Road,Nawanshahr,Punjab-144514",Punjab
0145,Zirakpur,YESB0000145,"Sco 8&9 (Gf) Hotel Kingston, Balaji Enclave, Patiala Highway, Zirakpur - 140603",Punjab
0146,Ropar,YESB0000146,"Yes Bank Ltd , Sco 42 , Ground Floor , Beant Singh Aman Nagar , Bela Road , Roopnagar , Pin No 140001 Punjab",Punjab
0147,Derabassi,YESB0000147,"Ground Floor, Paras Complex, Ambala Chandigarh Road Nh 2 Derabassi Pin-140507",Punjab
0148,Kharar,YESB0000148,"Ground Floor, SC0 52-53, City Heart, Kharar Main Road, Kharar, Punjab – 140301",Punjab
0149,Nakodar,YESB0000149,"S Kumar Complex, Noormahal Road, Nakodar - 144040",Punjab
0150,Itanagar,YESB0000150,"First Floor, Plot No.244, 'O' point, Tinali, Itanagar, Arunachal Pradesh - 791111",Arunachal Pradesh
0151,Silchar,YESB0000151,"Ground Floor, 159 Hospital Road, Near Alia Madrasa, Silchar-788005",Assam
0152,Shillong,YESB0000152,"Yes Bank Ltd, Ground And First Floor, Rpg Complex, Keating Road, Meghalaya793001",Meghalaya
0153,Aizawal,YESB0000153,"Yes Bank Ltd, Aizawl Branch, Mission Veng, New Street , J Thang Huama Building, Opp Sbi Mission Veng Branch, 796001",Mizoram
